iata,timezone,gmt_offset,offset_hours,name,city_code,country_id,latitude,longitude,elevation,icao
LCB,America/Cuiaba,GMT -4:00,-4,Pontes e Lacerda,LCB,BR,-13.013333,-59.99861,870,SWBG
CQS,America/Porto_Velho,GMT -4:00,-4,Costa Marques,CQS,BR,-12.4249231,-64.2519228757462,456,SWCQ
SNV,America/Caracas,GMT -4:00,-4,Santa Elena,SNV,VE,4.55,-61.11667,3011,SVSE
SVS,America/Anchorage,GMT -9:00,-9,Stevens Village,SVS,US,66.0175314,-149.052052697633,321,SVS
DMT,America/Cuiaba,GMT -4:00,-4,Diamantino,DMT,BR,-14.5,-56.5,744,SWDM
FBA,America/Manaus,GMT -4:00,-4,Fonte Boa,FBA,BR,-2.53238505,-66.083966476345,150,SWOB
GRP,America/Araguaina,GMT -3:00,-3,Gurupi,GRP,BR,-11.666667,-49.216667,898,SWGI
HUW,America/Manaus,GMT -4:00,-4,Humaita,HUW,BR,53.583447,-0.348669,59,SWHT
IDO,America/Araguaina,GMT -3:00,-3,Rio,IDO,BR,-11.566667,-50.666668,649,SWIY
JIA,America/Cuiaba,GMT -4:00,-4,Juina,JIA,BR,-11.5,-58.88333,1069,SWJN
SWE,Pacific/Port_Moresby,GMT +10:00,10,Siwea,SWE,PG,-6.2840761,147.582451519002,5875,AYEW
SWG,Pacific/Port_Moresby,GMT +10:00,10,Satwag,SWG,PG,-6.1394439,147.278780728465,4248,AYSW
SWR,Pacific/Port_Moresby,GMT +10:00,10,Silur,SWR,PG,-4.533333,153.05,282,AYZI
STZ,America/Cuiaba,GMT -4:00,-4,Confresa,STZ,BR,-10.300278,-50.45,583,SWST
NAI,America/Guyana,GMT -4:00,-4,Annai,NAI,GY,3.75,-59,446,SYAN
LUB,America/Guyana,GMT -4:00,-4,Lumid Pau,LUB,GY,2.3936457,-59.4332352,508,SYLP
LTM,America/Guyana,GMT -4:00,-4,Lethem,LTM,GY,3.37211225,-59.7900367000791,278,SYLT
MYM,America/Guyana,GMT -4:00,-4,Monkey Mountain,MYM,GY,4.6,-59.63333,1883,SYMM
KRM,America/Guyana,GMT -4:00,-4,Karanambo,KRM,GY,3.75,-59.316666,300,SYKR
AHL,America/Guyana,GMT -4:00,-4,Aishalton,AHL,GY,2.4755665,-59.3194477015381,521,SYAH
AZL,America/Cuiaba,GMT -4:00,-4,Fazenda Tucunare Airport,AZL,BR,-13.465528,-58.866935,2020,SWTU
KKG,America/Guyana,GMT -4:00,-4,Konawaruk,KKG,GY,5.266667,-59.816666,230,SYKZ
MHA,America/Guyana,GMT -4:00,-4,Mahdia,MHA,GY,5.27323,-59.1494223409608,282,SYMD
BGI,America/Barbados,GMT -4:00,-4,Grantley Adams International Airport,BGI,BB,13.0772788,-59.4879459797302,167,TBPB
ORJ,America/Guyana,GMT -4:00,-4,Orinduik,ORJ,GY,4.72726475,-60.0336846023735,1856,SYOR
TDS,Pacific/Port_Moresby,GMT +10:00,10,Sasereme,TDS,PG,-7.6194099,142.866491007526,121,AYSS
TFB,Pacific/Port_Moresby,GMT +10:00,10,Tifalmin,TFB,PG,-5.11707885,141.419128125193,4735,AYTH
BMJ,America/Guyana,GMT -4:00,-4,Baramita,BMJ,GY,6.75,-60,390,SYBR
KAR,America/Guyana,GMT -4:00,-4,Kamarang,KAR,GY,5.8625858,-60.6187376,1601,SYKM
PRR,America/Guyana,GMT -4:00,-4,Paruima,PRR,GY,5.8159679,-61.0588321,1624,SYPR
KRG,America/Guyana,GMT -4:00,-4,Karasabai,KRG,GY,4.0288204,-59.55413,731,SYKS
KTO,America/Guyana,GMT -4:00,-4,Kato,KTO,GY,4.6480905,-59.8351817,2299,SYKT
TBA,Pacific/Port_Moresby,GMT +10:00,10,Tabibuga,TBA,PG,-5.55,144.63333,4400,
SKM,America/Guyana,GMT -4:00,-4,Skeldon,SKM,GY,5.8625547,-57.1481892,19,SYSK
SFG,America/Marigot,GMT -4:00,-4,Esperance Airport,SFG,MF,18.100555,-63.04889,0,TFFG
TBQ,Pacific/Port_Moresby,GMT +10:00,10,Tarabo,TBQ,PG,12.3,22.75,6100,AYTR
DCF,America/Dominica,GMT -4:00,-4,Canefield Airport,DOM,DM,15.5,-61.333332,1610,TDCF
DOM,America/Dominica,GMT -4:00,-4,Melville Hall Airport,DOM,DM,15.54648545,-61.3020804037963,72,TDPD
GFO,America/Guyana,GMT -4:00,-4,Bartica,GFO,GY,6.416667,-58.583332,127,SYBT
TDB,Pacific/Port_Moresby,GMT +10:00,10,Tetabedi,TDB,PG,-8.997222,148.43333,3365,AYTF
IMB,America/Guyana,GMT -4:00,-4,Imbaimadai,IMB,GY,5.70585585,-60.2969929830978,1643,SYIB
SXP,America/Anchorage,GMT -9:00,-9,Sheldon Sea Plane Base,SXP,US,62.533333,-164.83333,0,
